term,rank
whatsapp privacy policy,2.4476427867851895
private info pls,2.44358625239333
cover private info,2.4399649941396806
send personal info,2.4371988222553056
private info friend,2.4371048424642243
access private medical,2.435610332381766
really private info,2.435399568445403
ur private info,2.435076026944047
ready slot skrg,2.430903704784428
private info okay,2.4302127139782326
dm info natalie,2.4291148782173253
natalie dm info,2.4291148782173253
info natalie uk,2.4291148782173253
natalie uk kidzrus,2.4291148782173253
info come across,2.4252778167334954
age level license,2.419641882252899
level license coach,2.419641882252899
coach please dm,2.419641882252899
player age level,2.419641882252899
training player age,2.419641882252899
real sauga provide,2.419641882252899
license coach please,2.419641882252899
provide private training,2.419641882252899
sauga provide private,2.419641882252899
private training player,2.419641882252899
share people private,2.4169794603582098
private info site,2.41687775359848
say info private,2.41524381654104
think private info,2.409862424222458
help mind send,2.4087268260642865
collect contact info,2.403075124994815
private unlisted delete,2.4030628593552854
private info obviously,2.401810670312616
confidential private info,2.3964561713782757
address passport private,2.393862989811617
carplate address passport,2.393862989811617
check thread info,2.392456453338034
private info time,2.3910266813581442
private info ask,2.390602706940356
social medium info,2.3895282133065483
call private showing,2.389351720067406
exclude ready info,2.3866015854924685
delete tweet private,2.3848230736906135
